a’a	A’a	A’A
ääliö	Ääliö	ÄÄLIÖ
aandraaien	Aandraaien	AANDRAAIEN
abażur	Abażur	ABAŻUR
abbast	Abbast	ABBAST
accent	Accent	ACCENT
accesit	Accesit	ACCESIT
accommodate	Accommodate	ACCOMMODATE
acqua	Acqua	ACQUA
addio	Addio	ADDIO
æðislegur	Æðislegur	ÆÐISLEGUR
afbryde	Afbryde	AFBRYDE
afdelingschef	Afdelingschef	AFDELINGSCHEF
affisch	Affisch	AFFISCH
äffisch	Äffisch	ÄFFISCH
afflato	Afflato	AFFLATO
afgjort	Afgjort	AFGJORT
afsæt	Afsæt	AFSÆT
aggastyán	Aggastyán	AGGASTYÁN
aggregate	Aggregate	AGGREGATE
aioli	Aioli	AIOLI
aiuole	Aiuole	AIUOLE
alaa	Alaa	ALAA
alááll	Alááll	ALÁÁLL
aladåb	Aladåb	ALADÅB
alfalfa	Alfalfa	ALFALFA
alkflasche	Alkflasche	ALKFLASCHE
åndeløs	Åndeløs	ÅNDELØS
angstschweiß	Angstschweiss	ANGSTSCHWEISS
anklagebænk	Anklagebænk	ANKLAGEBÆNK
anløbsbro	Anløbsbro	ANLØBSBRO
antepenúltimo	Antepenúltimo	ANTEPENÚLTIMO
anywhere	Anywhere	ANYWHERE
aranžer	Aranžer	ARANŽER
argüição	Argüição	ARGÜIÇÃO
arrogation	Arrogation	ARROGATION
asinine	Asinine	ASININE
asketræ	Asketræ	ASKETRÆ
assassinate	Assassinate	ASSASSINATE
assesses	Assesses	ASSESSES
asszony	Asszony	ASSZONY
ástfanginn	Ástfanginn	ÁSTFANGINN
asto	Asto	ASTO
atavistic	Atavistic	ATAVISTIC
atlético	Atlético	ATLÉTICO
automatvåben	Automatvåben	AUTOMATVÅBEN
avväga	Avväga	AVVÄGA
bål	Bål	BÅL
balaclava	Balaclava	BALACLAVA
bananarama	Bananarama	BANANARAMA
bankkonto	Bankkonto	BANKKONTO
barentszzee	Barentszzee	BARENTSZZEE
bassstimme	Bassstimme	BASSSTIMME
bastuugn	Bastuugn	BASTUUGN
battuere	Battuere	BATTUERE
bazter	Bazter	BAZTER
bęcwał	Bęcwał	BĘCWAŁ
beijing	Beijing	BEIJING
beinlínis	Beinlínis	BEINLÍNIS
berjamó	Berjamó	BERJAMÓ
betttuch	Betttuch	BETTTUCH
bezład	Bezład	BEZŁAD
birkiilmur	Birkiilmur	BIRKIILMUR
bistå	Bistå	BISTÅ
blomsterfrø	Blomsterfrø	BLOMSTERFRØ
bocsánat	Bocsánat	BOCSÁNAT
bødestraf	Bødestraf	BØDESTRAF
boekblok	Boekblok	BOEKBLOK
bombaš	Bombaš	BOMBAŠß
bookkeeper	Bookkeeper	BOOKKEEPER
boondoggle	Boondoggle	BOONDOGGLE
brjálaður	Brjálaður	BRJÁLAÐUR
brzdąc	Brzdąc	BRZDĄC
buchstabennerds	Buchstabennerds	BUCHSTABENNERDS
buckety	Buckety	BUCKETY
burggraaf	Burggraaf	BURGGRAAF
byggja	Byggja	BYGGJA
cãibra	Cãibra	CÃIBRA
callipygian	Callipygian	CALLIPYGIAN
cążki	Cążki	CĄŻKI
češnjev	Češnjev	ČEŠNJEV
čevapčič	Čevapčič	ČEVAPČIČ
champú	Champú	CHAMPÚ
chichi	Chichi	CHICHI
chłonność	Chłonność	CHŁONNOŚĆ
chorąży	Chorąży	CHORĄŻY
cilj	Cilj	CILJ
ciselør.	Ciselør	CISELØR
cóccix	Cóccix	CÓCCIX
coccyx	Coccyx	COCCYX
commaaccent	Commaaccent	COMMAACCENT
coñac	Coñac	COÑAC
conseqüência	Conseqüência	CONSEQÜÊNCIA
contexto	Contexto	CONTEXTO
continuum	Continuum	CONTINUUM
coterminous	Coterminous	COTERMINOUS
créée	Créée	CRÉÉE
csali	Csali	CSALI
ćwierćinteligent	Ćwierćinteligent	ĆWIERĆINTELIGENT
cycek	Cycek	CYCEK
czułość	Czułość	CZUŁOŚĆ
dhidi	Dhidi	DHIDI
diminishing	Diminishing	DIMINISHING
död	Död	DÖD
drieërlei	Drieërlei	DRIEËRLEI
duunviro	Duunviro	DUUNVIRO
dvored	Dvored	DVORED
dŵr dwfn	Dŵr Dwfn	DŴR DWFN
dzanga	Dzanga	DZANGA
dziób	Dziób	DZIÓB
dzsóker	Dzsóker	DZSÓKER
ebbe	Ebbe	EBBE
eddzél	Eddzél	EDDZÉL
eðlisfræði	Eðlisfræði	EÐLISFRÆÐI
eenvoudig	Eenvoudig	EENVOUDIG
eftergjort	Eftergjort	EFTERGJORT
einkaaðili	Einkaaðili	EINKAAÐILI
eisschnelllauf	Eisschnelllauf	EISSCHNELLLAUF
eléér	Eléér	ELÉÉR
elektronhéj	Elektronhéj	ELEKTRONHÉJ
éljagangur	Éljagangur	ÉLJAGANGUR
ellilífeyrisþegi	Ellilífeyrisþegi	ELLILÍFEYRISÞEGI
emlék	Emlék	EMLÉK
empreendedor	empreendedor	EMPREENDEDOR
ennuyant	Ennuyant	ENNUYANT
erquickend	Erquickend	ERQUICKEND
essstäbchen	Essstäbchen	ESSSTÄBCHEN
expressão	Expressão	EXPRESSÃO
fabulous	Fabulous	FABULOUS
fellkleid	Fellkleid	FELLKLEID
fetttropfen	Fetttropfen	FETTTROPFEN
ffwndwr	Ffwndwr	FFWNDWR
ffwr-bwt	Ffwr-Bwt	FFWR-BWT
filigree	Filigree	FILIGREE
filling	Filling	FILLING
fjernsyn	Fjernsyn	FJERNSYN
flög	Flög	FLÖG
flotylla	Flotylla	FLOTYLLA
fofofo	Fofofo	FOFOFO
forbigået	Forbigået	FORBIGÅET
forrasztóón	Forrasztóón	FORRASZTÓÓN
frača	Frača	FRAČA
framkvæmd	Framkvæmd	FRAMKVÆMD
fröccsöl	Fröccsöl	FRÖCCSÖL
fuddy-duddy	Fuddy-Duddy	FUDDY-DUDDY
fußballländerspiel	Fussballländerspiel	FUSSBALLLÄNDERSPIEL
gaffall	Gaffall	GAFFALL
gallbladder	Gallbladder	GALLBLADDER
gammel	Gammel	GAMMEL
garaža	Garaža	GARAŽA
geostasis	Geostasis	GEOSTASIS
geschirrreiniger	Geschirrreiniger	GESCHIRRREINIGER
gjörningur	Gjörningur	GJÖRNINGUR
goggles	Goggles	GOGGLES
graffiti	Graffiti	GRAFFITI
gravhøj	Gravhøj	GRAVHØJ
größe	Größe	GRÖSSE
halløj	Halløj	HALLØJ
hamjambo	Hamjambo	HAMJAMBO
hannyrðir	Hannyrðir	HANNYRÐIR
hattyúúr	Hattyúúr	HATTYÚÚR
hawaiian	Hawaiian	HAWAIIAN
heavyweight	Heavyweight	HEAVYWEIGHT
hihhulit	Hihhulit	HIHHULIT
hlátrasköll	Hlátrasköll	HLÁTRASKÖLLl
hlýddi	Hlýddi	HLÝDDI
horror-romance	Horror-Romance	HORROR-ROMANCE
hrææta	Hrææta	HRÆÆTA
huh?	Huh?	HUH?
huichelarij	Huichelarij	HUICHELARIJ
hyvyys	Hyvyys	HYVYYS
igiełka	Igiełka	IGIEŁKA
ignoble	Ignoble	IGNOBLE
ijsvrij	IJsvrij	IJSVRIJ
illi	Illi	ILLI
illigitimate	Illigitimate	ILLIGITIMATE
immagine	Immagine.	IMMAGINE
imminent	Imminent	IMMINENT
indywiduum	Indywiduum	INDYWIDUUM
inequivocabilmente	Inequivocabilmente	INEQUIVOCABILMENTE
inesquecível	Inesquecível	INESQUECÍVEL
innilokaður	Innilokaður	INNILOKAÐUR
ínség	Ínség	ÍNSÉG
insjööring	Insjööring	INSJÖÖRING
íntegra	Íntegra	ÍNTEGRA
irracjonalny	Irracjonalny	IRRACJONALNY
jäääär	Jäääär	JÄÄÄÄR
jættestue	Jættestue	JÆTTESTUE
jałowcówka	Jałowcówka	JAŁOWCÓWKA
járás	Járás	JÁRÁS
justaposição	Justaposição	JUSTAPOSIÇÃO
